Estado,Nombre del tecnológico,Clave oficial,Modalidad,Grado que otorga,Carrera,URL del tecnológico,URL de la carrera
Baja California,🏫 Instituto Tecnológico de Mexicali,ISIC-2010-224,Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/dsc/carreras/ing-sistemas-computacionales
Baja California,🏫 Instituto Tecnológico de Mexicali,IIND-2010-227,No Escolarizada,Licenciatura,Ingeniería Industrial,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/ingenieria-industrial/inicio
Baja California,🏫 Instituto Tecnológico de Mexicali,IIND-2010-227,Escolarizada,Licenciatura,Ingeniería Industrial,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/ingenieria-industrial/inicio
Baja California,🏫 Instituto Tecnológico de Mexicali,IINF-2010-220,Escolarizada,Licenciatura,Ingeniería Informática,http://www.itmexicali.edu.mx,https://mexicali.tecnm.mx
Baja California,🏫 Instituto Tecnológico de Mexicali,IMCT-2010-229,Escolarizada,Licenciatura,Ingeniería Mecatrónica,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/deptometalmecnica/ingener%C3%ADa-mecatr%C3%B3nica
Baja California,🏫 Instituto Tecnológico de Mexicali,IMEC-2010-228,Escolarizada,Licenciatura,Ingeniería Mecánica,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/deptometalmecnica/ingenier%C3%ADa-mec%C3%A1nica
Baja California,🏫 Instituto Tecnológico de Mexicali,IQUI-2010-232,Escolarizada,Licenciatura,Ingeniería Química,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/quimica/quimica.html
Baja California,🏫 Instituto Tecnológico de Tijuana,ARQU-2010-204,Escolarizada,Licenciatura,Arquitectura,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/arquitectura/
Baja California,🏫 Instituto Tecnológico de Tijuana,COPU-2010-205,Escolarizada,Licenciatura,Contador Público,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/contador-publico/
Baja California,🏫 Instituto Tecnológico de Tijuana,IAMB-2010-206,Escolarizada,Licenciatura,Ingeniería Ambiental,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-ambiental/
Baja California,🏫 Instituto Tecnológico de Tijuana,IBIO-2010-235,Escolarizada,Licenciatura,Ingeniería Biomédica,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-biomedica/
Baja California,🏫 Instituto Tecnológico de Tijuana,IBQA-2010-207,Escolarizada,Licenciatura,Ingeniería Bioquímica,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-bioquimica/
Baja California,🏫 Instituto Tecnológico de Tijuana,ICIV-2010-208,Escolarizada,Licenciatura,Ingeniería Civil,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-civil/
Baja California,🏫 Instituto Tecnológico de Tijuana,IEME-2010-210,Escolarizada,Licenciatura,Ingeniería Electromecánica,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-electromecanica/
Baja California,🏫 Instituto Tecnológico de Tijuana,IELC-2010-211,Escolarizada,Licenciatura,Ingeniería Electrónica,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-electronica/
Baja California,🏫 Instituto Tecnológico de Tijuana,IARO-2013-239,Escolarizada,Licenciatura,Ingeniería en Aeronáutica,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-aeronautica/
Baja California,🏫 Instituto Tecnológico de Tijuana,ICBS-2024-249,Escolarizada,Licenciatura,Ingeniería en Ciberseguridad,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ingenieria-en-ciberseguridad/
Baja California,🏫 Instituto Tecnológico de Tijuana,IDIN-2014-242,Escolarizada,Licenciatura,Ingeniería en Diseño Industrial,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-diseno-industrial/
Baja California,🏫 Instituto Tecnológico de Tijuana,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ingenieria-en-gestion-empresarial-virtual/
Baja California,🏫 Instituto Tecnológico de Tijuana,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-gestion-empresarial/
Baja California,🏫 Instituto Tecnológico de Tijuana,IIAR-2024-248,Escolarizada,Licenciatura,Ingeniería en Inteligencia Artificial,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ingenieria-en-inteligencia-artificial/
Baja California,🏫 Instituto Tecnológico de Tijuana,ILOG-2009-202,Escolarizada,Licenciatura,Ingeniería en Logística,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-logistica/
Baja California,🏫 Instituto Tecnológico de Tijuana,INAN-2009-203,Escolarizada,Licenciatura,Ingeniería en Nanotecnología,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-nanotecnologia/
Baja California,🏫 Instituto Tecnológico de Tijuana,ISIC-2010-224,Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-sistemas-computacionales/
Baja California,🏫 Instituto Tecnológico de Tijuana,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ingenieria-en-sistemas-computacionales-virtual/
Baja California,🏫 Instituto Tecnológico de Tijuana,ITIC-2010-225,Escolarizada,Licenciatura,Ingeniería en Tecnologías de la Información y Comunicaciones,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-tecnologias-de-la-informacion-y-comunicaciones/
